topicId,priority,hook,audience,angle,evidenceRefs,riskNote
topic_001,high,"3 signs your barrier is asking for help","sensitive-skin shoppers","barrier repair education","ev_001;ev_002","avoid medical cure claims"
topic_002,high,"Fragrance-free is not the whole story","ingredient-aware buyers","claim clarification","ev_004;ev_005","include limitation note"
topic_003,high,"A 7-day redness diary template","TikTok skincare creators","creator diary","ev_010;ev_011","do not imply guaranteed result"
topic_004,medium,"Routine bundle under 60 seconds","busy shoppers","routine simplification","ev_007;ev_008","price may vary"
topic_005,medium,"Ingredient comparison without fearmongering","research-heavy buyers","ingredient education","ev_013;ev_014","avoid competitor disparagement"
topic_006,medium,"Patch test reminder as trust hook","first-time buyers","safety-first content","ev_003;ev_006","not medical advice"
topic_007,medium,"Texture close-up for sensitive skin","visual buyers","sensory proof","ev_012;ev_015","needs own product footage"
topic_008,medium,"What to skip when skin feels angry","problem-aware buyers","avoidance checklist","ev_001;ev_010","keep claims general"
topic_009,low,"Morning routine reset","routine buyers","lifestyle format","ev_007;ev_013","generic angle"
topic_010,low,"Creator Q&A on redness","community audience","FAQ clip","ev_011;ev_012","requires moderation"
topic_011,high,"Barrier repair vs hydration explained","education audience","concept comparison","ev_002;ev_014","define terms clearly"
topic_012,medium,"Sensitive skin travel pouch","travel shoppers","use-case content","ev_008;ev_009","requires product fit"
topic_013,low,"Derm-style label reading","label readers","packaging breakdown","ev_005;ev_006","avoid authority impersonation"
topic_014,medium,"One product, three routines","routine builders","segmented use cases","ev_003;ev_009","requires testing"
topic_015,high,"Why redness content converts","growth team","creative strategy","ev_010;ev_015","sandbox-only claim"
